Accessories Store;Store
Adult Boutique;Store
Afghan Restaurant;Restaurant
African Restaurant;Restaurant
Airport Lounge;Transport
Airport Terminal;Transport
American Restaurant;Restaurant
Antique Shop;Store
Aquarium;Fun
Arcade;Fun
Arepa Restaurant;Restaurant
Argentinian Restaurant;Restaurant
Art Gallery;Art
Art Museum;Art
Arts & Crafts Store;Store
Asian Restaurant;Restaurant
Athletics & Sports;Sport
Australian Restaurant;Restaurant
Austrian Restaurant;Restaurant
Auto Dealership;Transport
Auto Garage;Transport
Auto Workshop;Transport
Automotive Shop;Transport
BBQ Joint;Restaurant
Baby Store;Store
Bagel Shop;Store
Bakery;Caf?
Bank;Business
Bar;Bar
Baseball Field;Sport
Basketball Court;Sport
Basketball Stadium;Sport
Basque Restaurant;Restaurant
Bathing Area;Fun
Bay;Water
Beach;Water
Bed & Breakfast;Hotel
Beer Bar;Bar
Beer Garden;Bar
Beer Store;Store
Belgian Restaurant;Restaurant
Big Box Store;Store
Bike Rental / Bike Share;Transport
Bike Shop;Store
Bistro;Caf?
Board Shop;Store
Boarding House;Hotel
Boat or Ferry;Transport
Bookstore;Store
Border Crossing;
Botanical Garden;Tourism
Boutique;Store
Bowling Alley;Fun
Boxing Gym;Sport
Brasserie;Bar
Brazilian Restaurant;Restaurant
Breakfast Spot;Caf?
Breton Restaurant;Restaurant
Brewery;Bar
Bridal Shop;Store
Bridge;Tourism
Bubble Tea Shop;Store
Buddhist Temple;Religion
Buffet;Caf?
Building;Building
Bulgarian Restaurant;Restaurant
Burger Joint;Caf?
Burrito Place;Caf?
Bus Line;Transport
Bus Station;Transport
Bus Stop;Transport
Business Service;Business
Butcher;Store
Cafeteria;Caf?
Café;Caf?
Cajun / Creole Restaurant;Restaurant
Camera Store;Store
Campground;Hotel
Canal;Water
Canal Lock;Water
Candy Store;Store
Cantonese Restaurant;Restaurant
Caribbean Restaurant;Restaurant
Carpet Store;Store
Casino;Fun
Castle;Tourism
Caucasian Restaurant;Restaurant
Chaat Place;Caf?
Champagne Bar;Bar
Cheese Shop;Store
Child Care Service;Service
Chinese Restaurant;Restaurant
Chocolate Shop;Store
Church;Religion
Churrascaria;Caf?
Cigkofte Place;Caf?
Circus;Fun
Climbing Gym;Sport
Clothing Store;Store
Cocktail Bar;Bar
Coffee Shop;Caf?
College Auditorium;Education
College Cafeteria;Caf?
College Gym;Sport
College Quad;Tourism
College Science Building;Education
Colombian Restaurant;Restaurant
Comedy Club;Fun
Comfort Food Restaurant;Restaurant
Comic Shop;Store
Community Center;Service
Concert Hall;Music
Construction & Landscaping;
Convenience Store;Store
Convention Center;Business
Cosmetics Shop;Store
Costume Shop;Store
Coworking Space;Business
Credit Union;Business
Creperie;Caf?
Cricket Ground;Fun
Cuban Restaurant;Restaurant
Cultural Center;Service
Cupcake Shop;Store
Currywurst Joint;Caf?
Cycle Studio;Transport
Dance Studio;Fun
Deli / Bodega;Store
Department Store;Store
Design Studio;Art
Dessert Shop;Store
Dim Sum Restaurant;Restaurant
Diner;Caf?
Discount Store;Store
Distillery;Bar
Dive Bar;Bar
Dive Shop;Store
Doctor's Office;Health
Dog Run;Park
Doner Restaurant;Restaurant
Donut Shop;Store
Drugstore;Store
Dry Cleaner;Service
Dumpling Restaurant;Restaurant
Eastern European Restaurant;Restaurant
Electronics Store;Store
English Restaurant;Restaurant
Ethiopian Restaurant;Restaurant
Event Space;
Exhibit;
Falafel Restaurant;Restaurant
Farm;
Farmers Market;Store
Fast Food Restaurant;Restaurant
Field;
Filipino Restaurant;Restaurant
Film Studio;
Fish & Chips Shop;Store
Fish Market;Store
Fishing Store;Store
Flea Market;Store
Flower Shop;Store
Fondue Restaurant;Restaurant
Food;Caf?
Food & Drink Shop;Store
Food Court;Caf?
Food Stand;Caf?
Food Truck;Caf?
Football Stadium;Sport
Forest;Park
Fountain;Tourism
French Restaurant;Restaurant
Fried Chicken Joint;Caf?
Frozen Yogurt Shop;Store
Fruit & Vegetable Store;Store
Furniture / Home Store;Store
Gaming Cafe;Caf?
Garden;Park
Garden Center;Park
Gas Station;Transport
Gastropub;Caf?
Gay Bar;Bar
General College & University;Education
General Entertainment;Education
German Restaurant;Restaurant
Gift Shop;Store
Gluten-free Restaurant;Restaurant
Go Kart Track;Fun
Golf Course;Fun
Gourmet Shop;Store
Government Building;
Greek Restaurant;Restaurant
Grilled Meat Restaurant;Restaurant
Grocery Store;Store
Gun Range;Fun
Gym;Sport
Gym / Fitness Center;Sport
Gym Pool;Sport
Gymnastics Gym;Sport
Halal Restaurant;Restaurant
Harbor / Marina;Park
Hardware Store;Store
Health & Beauty Service;Health
Health Food Store;Store
Heliport;
Herbs & Spices Store;Store
Hill;Park
Historic Site;Art
History Museum;Art
Hobby Shop;Store
Hockey Field;Sport
Home Service;Service
Hookah Bar;Fun
Hostel;Hotel
Hot Dog Joint;Caf?
Hotel;Hotel
Hotel Bar;Bar
Housing Development;
Hunan Restaurant;Restaurant
IT Services;Service
Ice Cream Shop;Store
Indian Restaurant;Restaurant
Indie Movie Theater;Fun
Indie Theater;Fun
Indonesian Restaurant;Restaurant
Indoor Play Area;Sport
Insurance Office;Service
Intersection;
Irish Pub;Bar
Israeli Restaurant;Restaurant
Italian Restaurant;Restaurant
Japanese Restaurant;Restaurant
Jazz Club;Fun
Jewelry Store;Store
Jewish Restaurant;Restaurant
Juice Bar;Caf?
Karaoke Bar;Bar
Kebab Restaurant;Restaurant
Kids Store;Store
Kitchen Supply Store;Store
Knitting Store;Store
Korean Restaurant;Restaurant
Kosher Restaurant;Restaurant
Lake;Tourism
Latin American Restaurant;Restaurant
Laundromat;Service
Leather Goods Store;Store
Lebanese Restaurant;Restaurant
